"region","sector","Year","co2.emiss","scenario"
"AL","comm cooking","1990",0.01954782,"NEWdac_netzero_usa_global_ssp2_highEV"
"AR","comm cooking","1990",0.01391071,"NEWdac_netzero_usa_global_ssp2_highEV"
"AZ","comm cooking","1990",0.0269296,"NEWdac_netzero_usa_global_ssp2_highEV"
"CA","comm cooking","1990",0.442681,"NEWdac_netzero_usa_global_ssp2_highEV"
"CO","comm cooking","1990",0.0341376,"NEWdac_netzero_usa_global_ssp2_highEV"
"CT","comm cooking","1990",0.02489776,"NEWdac_netzero_usa_global_ssp2_highEV"
"DC","comm cooking","1990",0.01015574,"NEWdac_netzero_usa_global_ssp2_highEV"
"DE","comm cooking","1990",0.00290743,"NEWdac_netzero_usa_global_ssp2_highEV"
"FL","comm cooking","1990",0.0717606,"NEWdac_netzero_usa_global_ssp2_highEV"
"GA","comm cooking","1990",0.0512505,"NEWdac_netzero_usa_global_ssp2_highEV"
"HI","comm cooking","1990",0.00713031,"NEWdac_netzero_usa_global_ssp2_highEV"
"IA","comm cooking","1990",0.0317925,"NEWdac_netzero_usa_global_ssp2_highEV"
"ID","comm cooking","1990",0.00461887,"NEWdac_netzero_usa_global_ssp2_highEV"
"IL","comm cooking","1990",0.1646531,"NEWdac_netzero_usa_global_ssp2_highEV"
"IN","comm cooking","1990",0.0593779,"NEWdac_netzero_usa_global_ssp2_highEV"
"KS","comm cooking","1990",0.0492077,"NEWdac_netzero_usa_global_ssp2_highEV"
"KY","comm cooking","1990",0.01788696,"NEWdac_netzero_usa_global_ssp2_highEV"
"LA","comm cooking","1990",0.0255223,"NEWdac_netzero_usa_global_ssp2_highEV"
"MA","comm cooking","1990",0.039594,"NEWdac_netzero_usa_global_ssp2_highEV"
"MD","comm cooking","1990",0.01786928,"NEWdac_netzero_usa_global_ssp2_highEV"
"ME","comm cooking","1990",0.00099526,"NEWdac_netzero_usa_global_ssp2_highEV"
"MI","comm cooking","1990",0.1233404,"NEWdac_netzero_usa_global_ssp2_highEV"
"MN","comm cooking","1990",0.0486628,"NEWdac_netzero_usa_global_ssp2_highEV"
"MO","comm cooking","1990",0.0543165,"NEWdac_netzero_usa_global_ssp2_highEV"
"MS","comm cooking","1990",0.01497932,"NEWdac_netzero_usa_global_ssp2_highEV"
"MT","comm cooking","1990",0.0059528,"NEWdac_netzero_usa_global_ssp2_highEV"
"NC","comm cooking","1990",0.0284072,"NEWdac_netzero_usa_global_ssp2_highEV"
"ND","comm cooking","1990",0.00601099,"NEWdac_netzero_usa_global_ssp2_highEV"
"NE","comm cooking","1990",0.0262483,"NEWdac_netzero_usa_global_ssp2_highEV"
"NH","comm cooking","1990",0.00327626,"NEWdac_netzero_usa_global_ssp2_highEV"
"NJ","comm cooking","1990",0.1549294,"NEWdac_netzero_usa_global_ssp2_highEV"
"NM","comm cooking","1990",0.01574354,"NEWdac_netzero_usa_global_ssp2_highEV"
"NV","comm cooking","1990",0.010998,"NEWdac_netzero_usa_global_ssp2_highEV"
"NY","comm cooking","1990",0.237072,"NEWdac_netzero_usa_global_ssp2_highEV"
"OH","comm cooking","1990",0.1264433,"NEWdac_netzero_usa_global_ssp2_highEV"
"OK","comm cooking","1990",0.01917871,"NEWdac_netzero_usa_global_ssp2_highEV"
"OR","comm cooking","1990",0.02039236,"NEWdac_netzero_usa_global_ssp2_highEV"
"PA","comm cooking","1990",0.1566368,"NEWdac_netzero_usa_global_ssp2_highEV"
"RI","comm cooking","1990",0.00659105,"NEWdac_netzero_usa_global_ssp2_highEV"
"SC","comm cooking","1990",0.01642937,"NEWdac_netzero_usa_global_ssp2_highEV"
"SD","comm cooking","1990",0.00561729,"NEWdac_netzero_usa_global_ssp2_highEV"
"TN","comm cooking","1990",0.027236,"NEWdac_netzero_usa_global_ssp2_highEV"
"TX","comm cooking","1990",0.1403327,"NEWdac_netzero_usa_global_ssp2_highEV"
"UT","comm cooking","1990",0.00915213,"NEWdac_netzero_usa_global_ssp2_highEV"
"VA","comm cooking","1990",0.0328843,"NEWdac_netzero_usa_global_ssp2_highEV"
"VT","comm cooking","1990",0.001083563,"NEWdac_netzero_usa_global_ssp2_highEV"
"WA","comm cooking","1990",0.0400803,"NEWdac_netzero_usa_global_ssp2_highEV"
"WI","comm cooking","1990",0.04473,"NEWdac_netzero_usa_global_ssp2_highEV"
"WV","comm cooking","1990",0.01461346,"NEWdac_netzero_usa_global_ssp2_highEV"
"WY","comm cooking","1990",0.0043882,"NEWdac_netzero_usa_global_ssp2_highEV"
"AK","comm cooling","1990",1.8465e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
"AL","comm cooling","1990",2.556e-05,"NEWdac_netzero_usa_global_ssp2_highEV"
