CO2 sequestration by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,technology,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,coal (IGCC CCS) (dry cooling),coal_int_IGCC_CCS,0,0,0,0,0,0.00256813,0.00869601,0.01625376,0.02514187,0.03670325,0.04924585,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,coal (IGCC CCS) (recirculating),coal_int_IGCC_CCS,0,0,0,0,0,0.00268956,0.00913364,0.01710684,0.0265085,0.03877257,0.05210651,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,coal (IGCC CCS) (seawater),coal_int_IGCC_CCS,0,0,0,0,0,0.00270757,0.00919592,0.01722529,0.02669478,0.03904878,0.05248266,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,coal (conv pul CCS) (dry cooling),coal_int_conv pul_CCS,0,0,0,0,0,0.00362337,0.0116259,0.02091562,0.03133288,0.04431493,0.05797858,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,coal (conv pul CCS) (recirculating),coal_int_conv pul_CCS,0,0,0,0,0,0.00383053,0.01230806,0.02216162,0.03322181,0.04702592,0.06157164,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,coal (conv pul CCS) (seawater),coal_int_conv pul_CCS,0,0,0,0,0,0.00385838,0.01239753,0.02232301,0.03346442,0.04736998,0.06202389,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,intermediate generation,gas (CC CCS) (recirculating),gas_int_CC_CCS,0,0,0,0,2.19E-10,0.0338229,0.1155222,0.2088851,0.3167994,0.4556313,0.6077563,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,peak generation,gas (CC CCS) (recirculating),gas_peak_CC_CCS,0,0,0,0,0,5.59E-06,1.11E-05,1.77E-05,2.60E-05,3.80E-05,6.03E-05,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,process heat dac,gas CCS,gas CCS,0,0,0,0,0,1.25E-05,3.99E-04,0.0114937,0.197657,1.63548,2.95433,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AL,subpeak generation,gas (CC CCS) (recirculating),gas_subpeak_CC_CCS,0,0,0,0,0,2.94E-04,6.45E-04,0.001039999,0.001545632,0.002480574,0.003677708,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",AR,CO2 removal,hightemp DAC NG,dac,0,0,0,0,0,1.13E-05,3.84E-04,0.011780803,0.217205458,1.930085622,3.641983705,0,0,0,MTC
