water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MO,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.60E-07,1.13E-05,3.37E-04,0.00641435,0.060676798,0.118958833,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MO,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,2.62E-09,7.39E-08,2.02E-06,4.71E-05,6.31E-04,0.001783976,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MO,industry,industry,industry,0.117236,0.111821,0.0945101,0.117747,0.121595,0.122886,0.12691,0.131051,0.136133,0.140264,0.146378,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MO,municipal water,municipal water,municipal water,1.02106,1.23048,1.24082,1.18058,1.19098,1.22518,1.2678,1.30381,1.34076,1.37481,1.40666,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MS,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.98E-07,6.72E-06,2.06E-04,0.003805146,0.033857888,0.063947102,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MS,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,5.59E-10,2.26E-08,7.58E-07,1.75E-05,2.12E-04,3.75E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MS,industry,industry,industry,0.371837,0.272064,0.280132,0.251258,0.249551,0.248507,0.256175,0.261637,0.266363,0.269765,0.278642,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MS,municipal water,municipal water,municipal water,0.487278,0.588212,0.607539,0.6196,0.61344,0.619221,0.636731,0.650056,0.665304,0.677934,0.690326,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MT,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.55E-07,5.38E-06,1.74E-04,0.003299775,0.029050112,0.052966969,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MT,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.13E-09,4.86E-08,1.94E-06,5.26E-05,6.53E-04,0.001597735,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MT,industry,industry,industry,0.0781805,0.0926312,0.0917747,0.0133593,0.0137748,0.0140888,0.0147221,0.01541,0.0160511,0.0163961,0.016878,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",MT,municipal water,municipal water,municipal water,0.208141,0.228767,0.221348,0.244378,0.247093,0.253174,0.26226,0.268468,0.274699,0.279832,0.284873,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",NC,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,4.49E-07,1.52E-05,4.68E-04,0.00863312,0.076815816,0.145080564,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",NC,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.27E-09,5.13E-08,1.72E-06,3.97E-05,4.82E-04,8.50E-04,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",NC,industry,industry,industry,0.539472,0.544238,0.374918,0.266855,0.283193,0.292814,0.304775,0.313205,0.319816,0.324111,0.333862,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",NC,municipal water,municipal water,municipal water,1.25408,1.4943,1.64559,1.52875,1.60984,1.68826,1.74404,1.78168,1.81866,1.8484,1.87583,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",ND,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,2.48E-07,7.88E-06,2.22E-04,0.004103292,0.038096386,0.071484265,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",ND,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.49E-09,4.80E-08,1.18E-06,2.88E-05,4.40E-04,0.001178232,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",ND,industry,industry,industry,0.0120883,0.0203084,0.0258069,0.027147,0.0266545,0.0264528,0.026934,0.0273639,0.0280989,0.0287718,0.0299587,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",ND,municipal water,municipal water,municipal water,0.122417,0.104941,0.100174,0.121395,0.119148,0.123396,0.127291,0.130147,0.1331,0.135703,0.138275,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV,date=2022-25-5T12:51:07-04:00",NE,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.99E-07,6.32E-06,1.78E-04,0.00329504,0.030592923,0.057403806,0,0,0,km^3
