"region","sector","Year","co2.emiss","scenario"
"CA","comm cooling","1990",0.0175129,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CO","comm cooling","1990",4.26002e-06,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"CT","comm cooling","1990",0.00317228,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"DC","comm cooling","1990",0.00119848,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"DE","comm cooling","1990",0.000222941,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"FL","comm cooling","1990",0.0184628,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"GA","comm cooling","1990",0.00771201,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"HI","comm cooling","1990",9.37199e-05,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IA","comm cooling","1990",0.000140581,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ID","comm cooling","1990",1.42001e-06,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IL","comm cooling","1990",0.00740814,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"IN","comm cooling","1990",0.00258155,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KS","comm cooling","1990",0.00038908,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"KY","comm cooling","1990",1.278e-05,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"LA","comm cooling","1990",0.0003408,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MA","comm cooling","1990",0.00473002,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MD","comm cooling","1990",0.00158046,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ME","comm cooling","1990",6.10615e-05,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MI","comm cooling","1990",0.00341084,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MN","comm cooling","1990",0.000133479,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MO","comm cooling","1990",0.000379141,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MS","comm cooling","1990",1.988e-05,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"MT","comm cooling","1990",0,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NC","comm cooling","1990",0.00326032,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"ND","comm cooling","1990",1.42003e-05,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NE","comm cooling","1990",0.000139161,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NH","comm cooling","1990",0.000299626,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NJ","comm cooling","1990",0.0208981,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NM","comm cooling","1990",4.26001e-06,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NV","comm cooling","1990",7.10001e-06,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
"NY","comm cooling","1990",0.024681,"NEWdac_netzero_usa_global_ssp2_highEV_luc2050"
