CO2 sequestration by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,technology,subsector,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,biomass liquids,cellulosic ethanol CCS level 1,biomass liquids,0,0,0,0,0,0,0,0.0219021,0.1122846,0.1277518,0.145064,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,biomass liquids,cellulosic ethanol CCS level 2,biomass liquids,0,0,0,0,0,0,0,0.1405,1.075898,1.300294,1.532351,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,cement,cement CCS,cement,0,0,0,0,0,0.0388076,0.10459,0.172352,0.201057,0.216097,0.225627,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,coal to liquids,coal to liquids CCS level 1,coal to liquids,0,0,0,0,0,0,0,1.49E-04,6.08E-04,4.65E-04,0.001767517,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,coal to liquids,coal to liquids CCS level 2,coal to liquids,0,0,0,0,0,0,0,1.49E-04,6.98E-04,6.75E-04,0.00212809,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,industrial feedstocks,refined liquids,refined liquids,1.08903,2.0334,0.981787,1.05041,1.06185,1.07223,1.11087,1.13296,1.14601,1.15745,1.19381,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,biomass (IGCC CCS) (dry cooling),biomass_int_IGCC_CCS,0,0,0,0,0,1.15E-04,5.45E-04,0.001483808,0.002834648,0.004642548,0.00632795,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,biomass (IGCC CCS) (recirculating),biomass_int_IGCC_CCS,0,0,0,0,0,1.19E-04,5.60E-04,0.001521144,0.002904894,0.004764974,0.006514719,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,biomass (IGCC CCS) (seawater),biomass_int_IGCC_CCS,0,0,0,0,0,1.19E-04,5.63E-04,0.001529711,0.002922201,0.004794201,0.006554544,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,biomass (conv CCS) (recirculating),biomass_int_conv_CCS,0,0,0,0,0,6.88E-04,0.003461857,0.01042932,0.02061552,0.03345232,0.043640321,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,coal (IGCC CCS) (dry cooling),coal_int_IGCC_CCS,0,0,0,0,0,0.00196928,0.0065039,0.0128738,0.020049,0.02842374,0.0373063,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,coal (IGCC CCS) (recirculating),coal_int_IGCC_CCS,0,0,0,0,0,0.00207289,0.00690875,0.01369075,0.02133379,0.03029,0.03984059,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,coal (IGCC CCS) (seawater),coal_int_IGCC_CCS,0,0,0,0,0,0.00208552,0.00695177,0.01377724,0.02147038,0.03048612,0.04010157,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,coal (conv pul CCS) (dry cooling),coal_int_conv pul_CCS,0,0,0,0,0,0.00262122,0.00809969,0.01550088,0.02354069,0.03251603,0.04167798,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,coal (conv pul CCS) (recirculating),coal_int_conv pul_CCS,0,0,0,0,0,0.00278512,0.00870856,0.01666263,0.02527719,0.03493144,0.0448552,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,coal (conv pul CCS) (seawater),coal_int_conv pul_CCS,0,0,0,0,0,0.0028032,0.00876544,0.01677159,0.02544287,0.03516076,0.0451508,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,intermediate generation,gas (CC CCS) (recirculating),gas_int_CC_CCS,0,0,0,0,2.19E-10,0.0283828,0.0955572,0.1808326,0.2721497,0.3778066,0.4915271,0,0,0,MTC
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS,date=2022-31-5T10:59:56-04:00",AL,peak generation,gas (CC CCS) (recirculating),gas_peak_CC_CCS,0,0,0,0,0,5.41E-06,1.04E-05,1.74E-05,2.58E-05,3.61E-05,5.68E-05,0,0,0,MTC
