water withdrawals by tech,,,,,,,,,,,,,,,,,,,
scenario,region,sector,subsector,technology,1990,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2065,2080,2095,Units
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",ID,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,0,6.41E-10,4.30E-08,1.70E-06,3.57E-05,9.61E-05,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",ID,industry,industry,industry,0.270475,0.0873262,0.0686894,0.0796173,0.0890549,0.0957574,0.101432,0.105338,0.109238,0.11225,0.116396,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",ID,municipal water,municipal water,municipal water,0.343558,0.460089,0.438786,0.477925,0.528769,0.574068,0.604519,0.623178,0.641501,0.657829,0.674083,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IL,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,1.23E-07,3.69E-06,2.04E-04,0.006122787,0.094139218,0.194295448,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IL,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.39E-09,3.60E-08,1.52E-06,5.39E-05,0.001144572,0.00340845,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IL,industry,industry,industry,0.641359,0.502613,0.539251,0.59512,0.594001,0.591306,0.60862,0.624506,0.64872,0.670558,0.701107,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IL,municipal water,municipal water,municipal water,2.72782,2.49017,2.20656,2.16584,2.15023,2.18852,2.26083,2.32996,2.40127,2.46725,2.53073,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IN,CO2 removal,dac,hightemp DAC NG,0,0,0,0,0,3.08E-07,9.17E-06,4.88E-04,0.015044297,0.22612854,0.45556004,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IN,CO2 removal,dac,hightemp DAC elec,0,0,0,0,0,1.98E-09,5.31E-08,2.08E-06,8.03E-05,0.001686785,0.0047112,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IN,industry,industry,industry,3.42977,3.04087,3.04876,3.15902,3.2124,3.21142,3.29611,3.32821,3.41753,3.50951,3.66081,0,0,0,km^3
"NEWdac_netzero_usa_global_ssp2_highEV_lowCCS_luc2050,date=2022-28-9T22:14:52+20:00",IN,municipal water,municipal water,municipal water,0.997627,1.10457,1.07974,1.04345,1.06686,1.09809,1.13499,1.16503,1.19603,1.22396,1.25074,0,0,0,km^3
